2, 22016, Note_on_c, 1, 53, 102
2, 22272, Note_off_c, 1, 53, 0
2, 22272, Note_on_c, 1, 55, 102
2, 22528, Note_off_c, 1, 55, 0
2, 22528, Note_on_c, 1, 56, 102
2, 22784, Note_off_c, 1, 56, 0
2, 22784, Note_on_c, 1, 55, 102
2, 23040, Note_off_c, 1, 55, 0
2, 23040, Note_on_c, 1, 53, 102
2, 23296, Note_off_c, 1, 53, 0
2, 23296, Note_on_c, 1, 51, 102
2, 23552, Note_off_c, 1, 51, 0
2, 23552, Note_on_c, 1, 50, 102
2, 24064, Note_off_c, 1, 50, 0
2, 24064, Note_on_c, 1, 60, 102
2, 24320, Note_off_c, 1, 60, 0
2, 24320, Note_on_c, 1, 59, 102
2, 24576, Note_off_c, 1, 59, 0
2, 24576, Note_on_c, 1, 60, 102
2, 25088, Note_on_c, 1, 48, 112
2, 25344, Note_off_c, 1, 48, 0
2, 25344, Note_on_c, 1, 47, 112
2, 25600, Note_off_c, 1, 60, 0
2, 25600, Note_off_c, 1, 47, 0
2, 25600, Note_on_c, 1, 48, 112
2, 26112, Note_off_c, 1, 48, 0
2, 26112, Note_on_c, 1, 43, 112
2, 26624, Note_off_c, 1, 43, 0
2, 26624, Note_on_c, 1, 44, 112
2, 27136, Note_on_c, 1, 65, 112
2, 27136, Note_off_c, 1, 44, 0
2, 27136, Note_on_c, 1, 48, 112
2, 27392, Note_off_c, 1, 48, 0
2, 27392, Note_on_c, 1, 47, 112
2, 27648, Note_off_c, 1, 65, 0
2, 27648, Note_on_c, 1, 63, 112
2, 27648, Note_off_c, 1, 47, 0
2, 27648, Note_on_c, 1, 48, 112
2, 28160, Note_off_c, 1, 63, 0
2, 28160, Note_on_c, 1, 62, 112
2, 28160, Note_off_c, 1, 48, 0
2, 28160, Note_on_c, 1, 50, 112
2, 28672, Note_off_c, 1, 62, 0
2, 28672, Note_off_c, 1, 50, 0
2, 28672, Note_on_c, 1, 43, 112
2, 29184, Note_on_c, 1, 56, 112
2, 29184, Note_off_c, 1, 43, 0
2, 29184, Note_on_c, 1, 48, 112
